tree,substations,SUB_cost_each,SUB_cost_total,edges,EGC_line,IGC,DSC,ST_cost,TOTAL
Kruskal (TK),10,6979.980877317017,69799.80877317017,95,269180.9410906091,663686.749561911,205613.01337874046,0.0,1208280.512804431
With Steiner in regions (TEST),8,6979.980877317017,55839.84701853614,102,277738.6121481068,663686.749561911,205613.01337874046,1345.7187307441034,1204223.9408380387
